Asignatura,1P,2P,Taller,Aprobado
4,4,24,7,0
4,6,22,7,0
4,5,14,5,0
4,14,5,3,0
4,9,17,6,0
4,5,20,4,0
4,14,21,6,0
4,10,6,6,0
4,9,23,9,1
4,9,32,7,1
4,12,24,7,1
4,17,25,6,1
4,10,10,7,0
4,8,17,7,0
4,7,15,4,0
4,4,21,7,0
4,7,20,8,1
4,13,15,7,0
4,2,13,2,0
4,14,31,5,1
4,5,10,4,0
4,10,13,7,0
4,5,10,2,0
4,18,30,6,1
8,14,18,5,0
8,9,11,7,0
8,22,35,8,1
8,21,8,9,0
8,12,21,7,0
8,10,22,10,0
8,18,32,10,1
8,7,16,7,0
8,9,10,4,0
8,17,12,9,0
8,12,18,7,0
8,10,9,9,0
8,11,5,9,0
8,5,17,7,0
8,16,26,8,1
8,3,19,6,0
8,17,18,9,0
8,11,25,9,1
8,18,14,8,0
8,11,6,8,0
8,18,23,8,1
8,23,27,10,1
8,15,16,8,0
8,10,26,10,1
8,6,15,10,0
8,9,9,9,0
8,10,34,6,1
8,16,21,9,1
8,14,14,3,0
8,14,18,9,0
8,13,9,8,0
8,22,19,10,1
8,16,18,8,0
8,9,25,7,0
8,17,20,6,1
8,4,17,8,0
8,15,14,8,0
8,17,27,10,1
8,17,28,9,1
8,9,29,8,1
8,12,25,9,1
8,23,25,9,1
8,17,23,9,1
8,24,26,10,1
8,22,23,5,1
8,17,19,8,0
8,7,24,6,0
8,6,12,10,0
8,18,8,9,0
8,17,25,10,1
8,21,34,6,1
8,19,33,8,1
8,11,26,10,0
8,24,23,9,1
8,15,23,8,1
8,17,29,7,1
8,18,17,7,0
8,15,1,9,0
8,24,30,10,1
8,6,21,8,0
8,11,21,9,0
8,3,20,5,0
8,17,19,8,1
8,8,11,4,0
8,19,27,10,1
8,24,30,10,1
8,7,25,10,0
8,7,14,9,0
8,19,23,9,1
8,14,21,9,1
8,18,24,10,1
8,18,25,10,1
8,18,23,10,1
8,10,27,8,1
8,16,20,9,1
8,16,18,3,0
8,14,33,9,1
8,12,24,9,0
8,16,17,8,1
8,11,26,9,1
8,18,27,10,1
8,18,24,5,1
8,13,7,6,0
8,11,26,9,0
8,13,13,9,0
8,15,14,10,0
8,12,7,4,0
8,24,19,10,1
8,9,16,10,0
8,19,36,9,1
8,7,10,2,0
8,24,21,8,1
8,16,17,7,0
8,6,23,6,0
8,12,27,8,1
8,10,15,10,1
8,17,8,10,0
8,4,15,3,0
8,12,18,7,1
8,12,22,10,0
8,24,27,10,1
8,17,29,10,1
8,10,26,10,1
8,15,19,4,0
8,12,17,10,0
8,13,18,8,0
8,14,20,10,0
8,4,11,4,0
8,23,34,9,1
8,20,25,10,1
8,22,27,10,1
8,16,18,7,0
8,4,15,4,0
8,17,25,8,1
8,14,26,8,1
8,17,23,9,1
8,10,19,8,0
8,10,11,8,0
8,15,21,10,1
8,10,9,6,0
8,10,18,7,0
8,17,25,10,1
8,11,21,8,1
8,17,27,9,1
8,8,18,5,0
8,23,28,10,1
8,4,15,4,0
8,24,34,10,1
8,8,7,7,0
8,12,13,7,0
8,9,15,8,0
8,4,21,10,0
8,18,11,6,0
8,10,26,9,0
8,20,18,9,0
8,10,8,6,0
8,8,16,8,0
8,23,24,10,1
8,7,15,9,0
8,11,16,8,0
8,12,16,9,0
8,11,15,5,0
8,24,31,10,1
8,18,32,10,1
8,15,27,8,1
8,12,22,10,1
8,10,21,10,0
8,16,27,8,1
8,10,9,5,0
8,9,11,10,0
8,11,19,7,0
8,13,28,9,1
8,10,10,7,0
8,17,29,10,1
8,10,18,10,1
8,12,24,7,0
8,15,21,8,0
8,12,24,9,1
8,11,27,10,1
8,13,26,9,1
8,17,34,10,1
8,21,33,6,1
8,4,16,3,0
8,7,18,10,0
8,22,15,9,1
8,8,9,9,0
8,24,15,6,1
8,23,35,7,1
8,18,36,10,1
8,12,11,7,0
8,17,5,4,0
8,10,22,8,0
8,9,8,9,0
8,3,19,5,0
8,10,16,4,0
8,17,16,9,1
8,18,14,10,0
8,23,26,9,0
8,24,21,5,0
8,11,22,2,0
8,13,16,8,0
8,4,24,8,0
8,11,18,10,1
8,12,21,5,0
8,18,17,10,0
8,9,6,10,0
8,19,27,8,1
8,15,25,7,1
8,18,14,8,0
8,9,19,8,0
8,12,22,8,0
8,11,15,10,0
8,9,20,7,0
8,10,14,3,0
8,11,28,8,1
8,8,21,7,0
8,13,25,7,0
8,19,17,6,0
8,18,17,10,1
8,16,34,5,1
8,16,12,9,0
8,13,31,10,1
8,22,21,10,1
8,24,15,9,0
8,19,26,8,1
8,0,16,7,0
8,18,20,8,0
8,10,15,3,0
8,21,23,10,1
8,7,12,3,0
8,24,28,10,1
8,16,15,9,0
7,16,30,9,1
7,15,0,3,0
7,16,25,5,0
7,11,9,5,0
7,21,28,5,1
7,12,14,6,0
7,12,5,2,0
7,20,22,9,1
7,0,15,2,0
7,14,24,7,0
7,10,20,5,0
7,9,25,8,0
7,17,27,9,1
7,3,19,2,0
7,20,28,8,1
7,10,17,4,0
7,12,9,4,0
7,12,16,5,0
7,18,15,2,0
7,9,10,3,0
7,6,13,5,0
7,8,24,4,0
7,11,23,5,0
7,13,9,8,0
7,5,17,5,0
7,12,16,3,0
7,14,17,5,0
7,8,22,6,0
7,11,27,3,0
7,6,20,8,0
7,3,16,2,0
7,11,22,6,0
7,13,13,5,0
7,11,22,7,0
7,19,17,5,1
7,14,17,4,1
7,12,22,5,0
7,4,12,3,0
7,10,15,6,0
7,12,14,5,0
7,10,5,2,0
7,20,22,6,1
7,12,11,5,0
7,8,16,6,0
7,16,25,6,1
7,9,11,5,0
7,17,24,8,1
7,14,11,4,0
7,14,29,7,1
7,14,7,4,0
7,15,12,7,0
7,15,17,8,0
7,11,20,3,0
7,16,19,5,0
7,12,25,5,0
7,19,27,8,1
7,17,10,5,0
7,11,19,5,0
7,8,11,4,0
7,12,5,6,0
7,22,25,9,1
7,16,28,9,1
7,16,25,5,0
7,9,15,5,0
7,16,25,7,1
7,8,20,4,0
7,19,24,7,1
7,9,21,3,0
7,21,29,4,1
7,11,17,2,0
7,13,27,2,0
7,8,12,4,0
7,10,18,7,0
7,13,26,7,0
7,17,22,7,1
7,21,28,9,1
7,9,16,8,0
7,17,19,7,0
7,17,28,7,1
7,13,10,5,0
7,15,18,6,0
7,11,20,3,0
7,12,11,4,0
7,18,29,8,1
7,15,13,3,0
7,10,13,10,0
7,14,21,7,0
7,16,12,6,0
7,12,11,5,0
7,17,25,8,1
7,18,16,8,0
7,22,33,6,1
7,13,7,4,0
7,7,16,2,0
7,17,22,10,1
7,19,30,8,1
7,15,15,2,0
7,13,20,8,0
7,15,17,5,0
7,13,22,7,0
7,11,15,4,0
7,10,23,8,0
7,20,20,7,1
7,16,23,6,0
7,12,19,8,0
7,15,9,4,0
7,17,31,9,1
7,15,10,6,0
7,16,24,7,0
7,15,21,7,0
7,22,30,8,1
7,11,14,4,0
7,14,16,6,0
7,12,8,8,0
7,17,13,3,0
7,7,9,4,0
7,13,22,5,0
7,19,20,5,1
7,7,19,6,0
7,24,30,9,1
7,10,13,3,0
7,12,18,4,0
7,10,22,6,0
7,18,19,6,0
7,14,21,8,0
7,10,14,6,0
7,16,14,4,0
7,10,8,6,0
7,13,22,9,0
7,15,18,7,0
7,13,30,7,1
7,13,13,7,0
7,14,27,7,1
7,12,13,6,0
7,11,23,7,0
7,16,27,3,1
7,12,10,6,0
7,7,11,6,0
7,14,22,8,0
7,6,21,4,0
7,9,10,4,0
7,5,10,4,0
7,12,18,4,0
7,19,21,9,1
7,13,16,6,1
7,14,28,8,1
7,12,17,6,0
7,18,9,8,0
7,11,7,3,0
7,17,14,3,0
7,13,15,6,0
7,13,14,6,0
7,18,25,6,1
7,5,12,7,0
7,19,24,6,0
7,8,26,2,0
7,10,20,8,0
7,18,23,8,1
7,8,21,5,0
7,13,10,6,0
7,11,24,5,0
7,7,16,5,0
7,17,21,5,0
7,9,27,3,0
7,17,18,8,1
7,11,14,6,0
7,7,8,2,0
7,10,10,4,0
7,13,31,8,1
7,15,8,2,0
7,12,9,4,0
7,11,12,2,0
7,17,31,8,1
7,14,26,7,0
7,13,20,4,0
7,10,27,6,0
7,6,24,5,0
7,16,19,6,0
7,13,15,3,0
7,18,23,4,0
7,8,12,3,0
7,15,18,10,0
7,15,16,6,0
7,16,14,5,0
7,18,29,8,1
7,12,9,8,0
7,19,29,7,1
7,18,29,9,1
7,11,4,3,0
7,9,25,6,0
7,9,23,2,0
7,13,11,4,0
7,16,23,5,0
7,16,26,8,1
7,10,15,5,0
7,11,14,4,0
7,12,24,4,0
7,14,13,4,0
7,13,12,2,0
7,14,14,5,0
7,18,23,6,1
7,12,22,4,0
7,11,23,8,0
7,20,21,7,1
7,14,19,6,0
7,12,11,4,0
7,10,28,5,0
7,10,10,4,0
7,11,20,6,0
7,11,20,8,0
7,13,16,4,0
7,21,31,8,0
7,9,9,7,0
7,12,19,8,0
7,16,30,6,0
7,20,28,2,1
7,13,5,8,0
7,18,28,8,1
7,11,13,4,0
7,6,16,2,0
7,15,25,5,1
7,14,17,6,0
7,10,11,5,0
7,14,19,4,0
7,14,21,4,0
7,19,28,8,1
7,12,20,6,0
7,11,28,7,1
7,17,27,5,1
7,16,7,4,0
7,8,7,6,0
7,13,23,4,0
7,15,27,9,1
7,10,28,4,0
7,12,17,2,0
7,10,26,5,0
7,16,16,7,0
7,13,19,5,0
7,17,28,8,1
7,18,24,7,1
7,11,8,5,0
7,15,10,4,0
7,7,21,4,0
7,12,16,8,0
7,15,16,3,0
7,11,22,10,1
7,9,11,3,0
7,12,20,3,0
7,22,26,8,1
7,9,22,5,0
6,20,13,9,0
6,18,19,6,0
6,15,15,5,0
6,19,9,8,0
6,12,18,5,0
6,19,9,4,0
6,20,20,10,0
6,17,8,10,0
6,13,17,7,0
6,10,15,6,0
6,8,7,6,0
6,17,10,8,0
6,10,18,2,0
6,5,12,5,0
6,10,9,9,0
6,10,18,3,0
6,16,0,6,0
6,15,24,7,0
6,10,12,4,0
6,8,12,7,0
6,13,16,8,1
6,16,14,8,1
6,20,13,2,1
6,0,27,7,0
6,22,28,10,1
6,13,20,2,0
6,17,20,8,1
6,19,21,8,1
6,15,27,6,1
6,9,14,9,0
6,14,18,8,1
6,15,30,5,1
6,12,11,7,0
6,5,13,7,0
6,19,19,6,1
6,6,9,10,0
6,14,12,6,0
6,8,14,7,0
6,18,19,10,1
6,11,14,8,0
6,11,17,2,0
6,14,22,8,1
6,15,23,6,0
6,18,16,6,1
6,10,16,2,0
6,14,25,4,0
6,17,13,3,0
6,20,18,10,1
6,16,11,5,0
6,13,12,10,0
6,5,27,3,0
6,20,16,7,0
6,5,26,5,1
6,15,1,6,0
6,17,18,9,0
6,13,10,5,0
6,19,22,10,1
6,14,20,10,0
6,19,25,10,1
6,14,24,7,0
6,13,8,2,0
6,13,17,7,1
6,10,5,4,0
6,13,16,8,0
6,14,19,7,1
6,9,11,2,0
6,18,13,5,0
6,19,0,7,0
6,19,25,6,1
6,17,16,3,0
6,10,27,7,0
6,10,14,5,0
6,19,3,7,0
6,17,28,6,1
6,19,36,10,1
6,17,8,10,0
6,14,23,5,0
6,13,4,7,0
6,7,14,4,0
6,19,15,4,0
6,11,24,9,0
6,20,21,8,1
6,7,22,4,0
6,16,3,6,0
6,13,21,9,1
6,16,15,10,0
6,12,24,7,0
6,9,25,9,0
6,16,23,8,0
6,11,19,8,1
6,18,11,8,0
6,19,12,9,0
6,21,24,7,0
6,21,15,10,1
6,5,12,6,0
6,16,14,6,0
6,11,17,7,0
6,8,21,6,1
6,20,17,4,0
6,9,14,8,0
6,18,19,9,0
6,13,18,5,0
6,20,13,6,1
6,14,30,10,1
6,20,9,10,0
6,19,21,7,1
6,17,29,8,1
6,19,29,10,1
6,20,28,7,1
6,19,20,5,0
6,5,10,10,0
